strain,time,Proteins,area_mean,area_sd,peps_per_tech_rep,org,org_area,ecoli_area,area_norm,b_rep
11-42,1min,YP_003043650.1,594851811.690972,93750407.3492322,3,ecoli,588953948991.002,588953948991.002,0.00101001413219162,5
11-42,1min,YP_003043651.1,843616636.494792,264989571.883499,2,ecoli,588953948991.002,588953948991.002,0.0014323983020066,5
11-42,1min,YP_003043652.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043654.1,71628240.1458333,12425823.2923025,2,ecoli,588953948991.002,588953948991.002,0.000121619424181716,5
11-42,1min,YP_003043657.1,31615598.6666667,2908862.65719526,1,ecoli,588953948991.002,588953948991.002,5.36809350218818e-05,5
11-42,1min,YP_003043658.1,36103497.6666667,6557191.48812286,1,ecoli,588953948991.002,588953948991.002,6.13010537216353e-05,5
11-42,1min,YP_003043661.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043666.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043669.1,200246037.916667,77060224.1466051,3,ecoli,588953948991.002,588953948991.002,0.000340002878424924,5
11-42,1min,YP_003043670.1,29570556.0833333,4657869.89697983,1,ecoli,588953948991.002,588953948991.002,5.02086048221491e-05,5
11-42,1min,YP_003043671.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043694.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043699.1,36516584.75,1925211.32835378,1,ecoli,588953948991.002,588953948991.002,6.20024448644251e-05,5
11-42,1min,YP_003043701.1,583417476.258681,129624068.231074,3,ecoli,588953948991.002,588953948991.002,0.000990599481093885,5
11-42,1min,YP_003043702.1,154959847.901042,30282756.1038356,2,ecoli,588953948991.002,588953948991.002,0.000263110296087698,5
11-42,1min,YP_003043704.1,32071230.90625,4375642.51699561,2,ecoli,588953948991.002,588953948991.002,5.44545646755482e-05,5
11-42,1min,YP_003043705.1,54943362.828125,14345013.0530921,2,ecoli,588953948991.002,588953948991.002,9.32897434888656e-05,5
11-42,1min,YP_003043732.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043733.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043743.1,135150280.098958,15429246.7645234,2,ecoli,588953948991.002,588953948991.002,0.00022947512336151,5
11-42,1min,YP_003043755.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043758.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043761.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043762.1,194236659.236111,89858632.3017361,3,ecoli,588953948991.002,588953948991.002,0.000329799400392642,5
11-42,1min,YP_003043763.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043772.1,109173288.041667,10978145.9135854,1,ecoli,588953948991.002,588953948991.002,0.000185368122972438,5
11-42,1min,YP_003043773.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043775.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
