strain,time,protein_desc,area_mean,area_sd,peps_per_rep,org,org_area,ecoli_area,area_norm,b_rep
11-42,1m,YP_003043646.1,239776990.54166666,326077948.6734712,2.0,ecoli,390421754431.3482,390421754431.3482,6.141486426413492e-4,1.0
11-42,1m,YP_003043648.1,104833164.03125,170102944.1468035,2.0,ecoli,390421754431.3482,390421754431.3482,2.6851260935482495e-4,1.0
11-42,1m,YP_003043649.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043650.1,318305520.6666667,98402720.14662257,1.0,ecoli,390421754431.3482,390421754431.3482,8.152863334428706e-4,1.0
11-42,1m,YP_003043651.1,951513190.96875,372757702.28818506,2.0,ecoli,390421754431.3482,390421754431.3482,0.002437141834871971,1.0
11-42,1m,YP_003043654.1,28439738.1875,1999285.3119804843,1.0,ecoli,390421754431.3482,390421754431.3482,7.284363093168992e-5,1.0
11-42,1m,YP_003043657.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043666.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043692.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043695.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043699.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043701.1,840636109.6458334,390153120.97548205,1.0,ecoli,390421754431.3482,390421754431.3482,0.0021531487426212333,1.0
11-42,1m,YP_003043702.1,90548987.5,29122113.456736177,1.0,ecoli,390421754431.3482,390421754431.3482,2.319260811475149e-4,1.0
11-42,1m,YP_003043743.1,170637541.5972222,57898337.157051615,3.0,ecoli,390421754431.3482,390421754431.3482,4.3705951233623464e-4,1.0
11-42,1m,YP_003043762.1,45798408.708333336,12486877.367880618,2.0,ecoli,390421754431.3482,390421754431.3482,1.1730496107994549e-4,1.0
11-42,1m,YP_003043772.1,22222692.052083332,7030758.543187718,2.0,ecoli,390421754431.3482,390421754431.3482,5.691970746981255e-5,1.0
11-42,1m,YP_003043776.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043782.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043784.1,58394492.041666664,21174203.016429644,1.0,ecoli,390421754431.3482,390421754431.3482,1.4956772100652694e-4,1.0
11-42,1m,YP_003043795.1,2697198594.6861978,1490977458.0076547,2.0,ecoli,390421754431.3482,390421754431.3482,0.006908422914636724,1.0
11-42,1m,YP_003043796.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043797.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043814.1,3403110236.5,1211094320.0269332,1.0,ecoli,390421754431.3482,390421754431.3482,0.008716497474523806,1.0
11-42,1m,YP_003043818.1,409164235.6822917,189407022.52879545,1.0,ecoli,390421754431.3482,390421754431.3482,0.0010480057297991554,1.0
11-42,1m,YP_003043821.1,360728180.8125,84740825.465696,1.0,ecoli,390421754431.3482,390421754431.3482,9.239448793981855e-4,1.0
11-42,1m,YP_003043822.1,861658082.625,583952107.332627,1.0,ecoli,390421754431.3482,390421754431.3482,0.002206993009085804,1.0
11-42,1m,YP_003043822.1; YP_003044024.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043823.1,15402912.333333334,364520.99370555236,1.0,ecoli,390421754431.3482,390421754431.3482,3.9451982781460974e-5,1.0
11-42,1m,YP_003043826.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043827.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043831.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043832.1,127099353.5,47660866.11569424,1.0,ecoli,390421754431.3482,390421754431.3482,3.255437281795965e-4,1.0
11-42,1m,YP_003043847.1,77476387.67708333,25463423.51267514,2.0,ecoli,390421754431.3482,390421754431.3482,1.984428039619057e-4,1.0
11-42,1m,YP_003043848.1,193696195.23958334,77494309.31215076,1.0,ecoli,390421754431.3482,390421754431.3482,4.961203955494312e-4,1.0
