condition,weight,time,class,cor,pval
wt,1,895,3,0.6655884050083147,0.03567121583498097
wt,1,900,2,0.7761361681863054,0.0402011817931784
wt,1,900,3,0.6660644899287356,0.035491561347572954
wt,1,905,2,0.7877951523470671,0.035407636759582
wt,1,905,3,0.6672233891324056,0.03505680307857535
wt,1,910,2,0.7915342983612623,0.033941588420088376
wt,1,910,3,0.66826592122075,0.034668793393954823
wt,1,915,2,0.7944239242864979,0.0328322209532504
wt,1,915,3,0.6690951720391198,0.034362248074228524
wt,1,920,2,0.7978274873832265,0.03155185913371768
wt,1,920,3,0.6671931486726692,0.03506810165164611
wt,1,925,2,0.7951569654384655,0.03255406122114493
wt,1,925,3,0.6707249152363337,0.03376515149886577
wt,1,930,2,0.8033907298315304,0.029520121364456704
wt,1,930,3,0.673918593789919,0.032615552816486794
wt,1,935,2,0.809388900191598,0.02741400693098023
wt,1,935,3,0.677703550653022,0.03128789712693067
wt,1,940,2,0.8100316701948351,0.027193490441629997
wt,1,940,3,0.6800113606884117,0.03049669815121394
wt,1,945,2,0.808960536735937,0.027561521844023426
wt,1,945,3,0.6804416524799286,0.03035070176905374
wt,1,950,2,0.8096054697612469,0.027339596253356697
wt,1,950,3,0.6811607213715255,0.030107788263813193
wt,1,955,2,0.817446394785081,0.024721781420190544
wt,1,955,3,0.6850924603592955,0.028802975066996632
wt,1,960,2,0.8246900091120362,0.022434423513840177
wt,1,960,3,0.6883887452813664,0.027739234393492452
wt,1,965,2,0.824594427172048,0.022463791816137463
wt,1,965,3,0.6886772228129406,0.027647438145232742
wt,1,970,2,0.8248248755038422,0.022393021669569753
wt,1,970,3,0.6922431500603202,0.02652982395537773
wt,1,975,2,0.8235698756677042,0.02277995718454633
wt,1,975,3,0.6934276609030536,0.026165535375017153
wt,1,980,2,0.8295187984258349,0.020978921780951145
wt,1,980,3,0.6957425509801065,0.025463526998262872
wt,1,985,2,0.8378044463740264,0.01860941235396962
wt,1,985,3,0.6977544149158834,0.024863997727278528
wt,1,990,2,0.8389279636910741,0.01830047157515188
wt,1,990,3,0.6997016863482911,0.024293013006700614
wt,1,995,2,0.8417640237335718,0.01753366590841855
wt,1,995,3,0.7008850153621674,0.023950469981768252
wt,1,1e3,2,0.8461629448456852,0.01638109339885332
wt,1,1e3,3,0.7026653175070366,0.023441395074588752
wt,1,1005,2,0.8471464432135694,0.016129495474564267
wt,1,1005,3,0.7026536567632747,0.02344470501351356
wt,1,1010,2,0.8517065331561957,0.014991849346573098
wt,1,1010,3,0.7085288166975692,0.021817407515341725
wt,1,1015,2,0.8563255966284432,0.01388767443132018
wt,1,1015,3,0.7108623818256906,0.02119325766374688
wt,1,1020,2,0.8545043283850191,0.014317280630634756
wt,1,1020,3,0.7123946807683731,0.02079018941702166
wt,1,1025,2,0.8580870847786631,0.01347927669397936
wt,1,1025,3,0.7127209562799268,0.020705052122830487
wt,1,1030,2,0.858638106319868,0.013352954352291245
wt,1,1030,3,0.7139426057664364,0.02038841722936689
wt,1,1035,2,0.8614813738341777,0.012711930725375721
wt,1,1035,3,0.7136838096144598,0.020455212411773747
wt,1,1040,2,0.8660869382992037,0.011711757149372535
wt,1,1040,3,0.7141800150530918,0.02032727466795341
wt,1,1045,2,0.8697652692678567,0.010946564491546887
wt,1,1045,3,0.7143395759847574,0.02028625249929307
wt,1,1050,2,0.8705198412472847,0.010793257434414774
wt,1,1050,3,0.7157488159854202,0.019926426203020677
wt,1,1055,2,0.8723156160278286,0.010433400363587473
wt,1,1055,3,0.7164008655856349,0.019761439362721345
wt,1,1060,2,0.8785402023065362,0.009240067585739949
wt,1,1060,3,0.7161224758583341,0.01983176373346293
wt,1,1065,2,0.8784785816844072,0.009251472947119433
wt,1,1065,3,0.7159178398479288,0.01988356732227969
wt,1,1070,2,0.8769232939499169,0.00954203257701333
wt,1,1070,3,0.7145838720074283,0.020223556348182188
wt,1,1075,2,0.8786779487665184,0.009214601437376988
wt,1,1075,3,0.7148181128429818,0.020163566648279372
wt,1,1080,2,0.8827720210696397,0.008476142255683087
wt,1,1080,3,0.7173751160803686,0.019516690802604618
wt,1,1085,2,0.8903408535421435,0.007203837727913036
wt,1,1085,3,0.7163448517896364,0.019775575193823138
wt,1,1090,2,0.8916868347680126,0.006990047287108265
wt,1,1090,3,0.7180233309528334,0.019355015033873046
wt,1,1095,2,0.8898945821540502,0.007275546590065143
wt,1,1095,3,0.7200114773944033,0.018864922112739137
wt,1,1100,2,0.8885144252777267,0.007499924604222346
wt,1,1100,3,0.7210345476184864,0.01861610863111452
wt,1,1105,2,0.891120924486926,0.00707947962019656
wt,1,1105,3,0.7250682230482005,0.01765725170126104
wt,1,1110,2,0.8934640036308581,0.006713470768099357
wt,1,1110,3,0.7269697811564361,0.017217347022136693
wt,1,1115,2,0.8967360987488127,0.006221097161980201
wt,1,1115,3,0.7276269619532233,0.017067102530451107
wt,1,1120,2,0.8988765752722739,0.005910729003373107
wt,1,1120,3,0.726549657611538,0.01731387542485548
wt,1,1125,2,0.8973163151378984,0.006136054038938356
wt,1,1125,3,0.7279874126617784,0.01698508440497055
wt,1,1130,2,0.9004090612060385,0.005694169058065199
wt,1,1130,3,0.7288618303888844,0.016787255315971146
wt,1,1135,2,0.9028838572609111,0.005354329533741034
wt,1,1135,3,0.729376659870097,0.016671531972105157
wt,1,1140,2,0.9037391306251025,0.005239703933315279
wt,1,1140,3,0.731956843451315,0.0160999026728845
wt,1,1145,2,0.9046403026873396,0.005120486181996727
wt,1,1145,3,0.734067074413681,0.01564264398372882
wt,1,1150,2,0.908468985757394,0.004631693292087157
wt,1,1150,3,0.7341334798957498,0.015628403384110097
wt,1,1155,2,0.9104635645062826,0.004388311355098908
wt,1,1155,3,0.7342994571115852,0.015592849202866141
wt,1,1160,2,0.9109584591156529,0.0043291073289566905
wt,1,1160,3,0.7350084954378544,0.015441599499926897
wt,1,1165,2,0.9123736462109243,0.004162392305043876
wt,1,1165,3,0.7347596319250249,0.015494569285977698
wt,1,1170,2,0.9128330893445092,0.004109088241944915
wt,1,1170,3,0.7335315514136093,0.015757816918350275
wt,1,1175,2,0.9155131203277848,0.003806114292912865
wt,1,1175,3,0.733904223267622,0.015677605527479065
wt,1,1180,2,0.917237791731815,0.0036182773403128955
wt,1,1180,3,0.7343636524625993,0.015579112960566441
wt,1,1185,2,0.9161970060412599,0.003730966019272582
wt,1,1185,3,0.7347394041028638,0.015498880266498363
wt,1,1190,2,0.9182251759599003,0.0035132339597588975
wt,1,1190,3,0.735355534826176,0.015367944119209944
wt,1,1195,2,0.9208095782582945,0.0032468177003143264
wt,1,1195,3,0.7350622910728789,0.015430165880936757
wt,1,1200,2,0.9201915709665117,0.003309408531519843
wt,1,1200,3,0.7375708022061502,0.014903536583496824
wt,1,1205,2,0.9219506521062137,0.003133085533992778
wt,1,1205,3,0.7386741572206776,0.01467592192677089
wt,1,1210,2,0.923729246970085,0.0029605276386936493
wt,1,1210,3,0.7395322167868801,0.014500595029891986
wt,1,1215,2,0.924029319484913,0.0029319782860464977
wt,1,1215,3,0.7399672877054921,0.014412258141928638
wt,1,1220,2,0.9230333850731558,0.0030273578581408024
wt,1,1220,3,0.7404075958829928,0.014323241029940115
wt,1,1225,2,0.9254747185323093,0.0027967259068974347
wt,1,1225,3,0.7408412090587536,0.014235953289092912
wt,1,1230,2,0.928158583631464,0.0025554562744661037
wt,1,1230,3,0.741567215749596,0.014090638467230288
wt,1,1235,2,0.9289590219742118,0.0024859617671559187
wt,1,1235,3,0.7416411653668935,0.014075895368321448
wt,1,1240,2,0.9302548734960765,0.002375831758486414
wt,1,1240,3,0.7417742788103134,0.01404938412500674
wt,1,1245,2,0.9304103377080275,0.0023628159272254794
wt,1,1245,3,0.7424262719034158,0.013920034986304715
wt,1,1250,2,0.932577240860688,0.0021857504249131105
wt,1,1250,3,0.7410221092967987,0.014199647537576
wt,1,1255,2,0.9339003762751112,0.0020815974314382104
wt,1,1255,3,0.7416453387795275,0.014075063649709368
wt,1,1260,2,0.9351553731294328,0.0019855595395684464
wt,1,1260,3,0.7408841008449047,0.014227339271846325
wt,1,1265,2,0.9351545901392582,0.0019856186268109037
wt,1,1265,3,0.7402247281798277,0.01436016465450596
wt,1,1270,2,0.9347007478974109,0.002020041407293001
wt,1,1270,3,0.739926310776546,0.014420562039600161
wt,1,1275,2,0.9352736552877818,0.001976645421531675
wt,1,1275,3,0.740279922889546,0.01434901305431933
wt,1,1280,2,0.935325031002285,0.0019727809332443056
wt,1,1280,3,0.7401443957378513,0.014376405918663671
wt,1,1285,2,0.9372632395108049,0.0018302249121928862
wt,1,1285,3,0.7419065899063162,0.014023067262362639
wt,1,1290,2,0.9404766378511588,0.0016076126268805705
wt,1,1290,3,0.7427244716424886,0.013861153277794814
wt,1,1295,2,0.9405823817078787,0.0016005748306022521
wt,1,1295,3,0.7425834834344265,0.01388897069073579
wt,1,1300,2,0.9388419220109131,0.0017187354184562355
wt,1,1300,3,0.7423248590108485,0.013940099457227092
wt,1,1305,2,0.9400940091987171,0.001633230721294446
wt,1,1305,3,0.7422535888576748,0.013954212291659138
wt,1,1310,2,0.940385876276673,0.0016136677914060558
wt,1,1310,3,0.7433192588008352,0.013744228378334777
wt,1,1315,2,0.940674184514226,0.0015944796330531455
wt,1,1315,3,0.7439580053091193,0.013619431368105226
wt,1,1320,2,0.9407984567620048,0.0015862504679679096
wt,1,1320,3,0.7461006074947976,0.013206599660145419
wt,1,1325,2,0.9430797060313639,0.0014396220777813176
wt,1,1325,3,0.7464879588562926,0.013132911730669357
wt,1,1330,2,0.9422575545247669,0.001491500836827182
wt,1,1330,3,0.7467867445497683,0.013076269030470272
wt,1,1335,2,0.942495451519734,0.0014763778511313237
wt,1,1335,3,0.7466335687602116,0.01310528613508167
wt,1,1340,2,0.9432422493978385,0.001429493434734283
wt,1,1340,3,0.7463955217238399,0.013150470340533143
wt,1,1345,2,0.9430698955423109,0.0014402347534467127
wt,1,1345,3,0.7466756479441377,0.013097310312203677
wt,1,1350,2,0.9444450969850537,0.0013558465041126554
wt,1,1350,3,0.7481114558786222,0.012827193289870769
wt,1,1355,2,0.944148639206201,0.0013737845574193495
wt,1,1355,3,0.7480559027600374,0.012837571251893014
wt,1,1360,2,0.9447417323353656,0.0013380367723767317
wt,1,1360,3,0.7474311007212446,0.012954696646628112
wt,1,1365,2,0.9455179737841137,0.0012920878821605412
wt,1,1365,3,0.7488743136677571,0.01268527620851976
wt,1,1370,2,0.9453125672086437,0.001304154584004048
wt,1,1370,3,0.7489684117791163,0.012667847343201855
wt,1,1375,2,0.9467617725142634,0.0012204294767605261
wt,1,1375,3,0.7503980873407518,0.012405101600004784
wt,1,1380,2,0.9476642035667618,0.0011699427731357028
wt,1,1380,3,0.7512718405438813,0.012246417078138986
wt,1,1385,2,0.9470385189699402,0.0012048128675942245
wt,1,1385,3,0.751126209307817,0.012272766153152127
wt,1,1390,2,0.9476541761793952,0.0011704968458393415
wt,1,1390,3,0.7522682316335005,0.012067202707870955
wt,1,1395,2,0.9480133642330323,0.0011507461095030236
wt,1,1395,3,0.7530462160168473,0.011928556423121184
wt,1,1400,2,0.9483514466042436,0.0011323370261014918
wt,1,1400,3,0.7533484485419862,0.011874997564749598
wt,1,1405,2,0.9487350083878564,0.0011116635407261214
wt,1,1405,3,0.7545685293102878,0.011660500511197602
wt,1,1410,2,0.950472584577985,0.0010208140225195874
wt,1,1410,3,0.7543122802492833,0.011705323106930917
wt,1,1415,2,0.9501579215643681,0.0010369274104738114
wt,1,1415,3,0.754567871267635,0.0116606154602417
wt,1,1420,2,0.9509469744059389,9.968027363281401e-4
wt,1,1420,3,0.7547739086132849,0.011624663024581974
wt,1,1425,2,0.9505125719811077,0.001018777008673256
wt,1,1425,3,0.7553984052277098,0.011516166982419992
wt,1,1430,2,0.9497065490344166,0.0010603024038270729
wt,1,1430,3,0.7558926507328925,0.01143080540419519
wt,1,1435,2,0.9519645151003218,9.464352191832749e-4
wt,1,1435,3,0.7559788339071009,0.011415966256335994
wt,1,1440,2,0.9547620769999472,8.158371561838933e-4
wt,1,1440,3,0.7563229805440267,0.011356845408763923
wt,2,310,2,0.9520916376306876,0.047908362369312375
wt,2,315,2,0.8583145348299241,0.1416854651700758
wt,2,320,2,0.8914570210092849,0.10854297899071505
wt,2,325,2,0.7877349845222005,0.2122650154777994
wt,2,330,2,0.7327092420649451,0.2672907579350548
wt,2,335,2,0.07029356780074557,0.9297064321992544
wt,2,340,2,0.2285241082351167,0.7714758917648833
wt,2,345,2,0.2540405811784292,0.7459594188215708
wt,2,350,2,-0.4234311188982797,0.5765688811017202
wt,2,355,2,0.047092805966385966,0.9294130106706031
wt,2,360,2,-0.41947288739954697,0.40769536987741806
wt,2,365,2,-0.7025517404099312,0.11955476384215288
wt,2,370,2,-0.8369927606717863,0.03769137808472743
wt,2,375,2,-0.8237178376833834,0.04387408170691017
wt,2,380,2,-0.8051481952724593,0.05325184747401187
wt,2,385,2,-0.8572011888110032,0.013683798061328077
wt,2,390,2,-0.843108101785335,0.017176764955209336
wt,2,395,2,-0.8057306768688214,0.02868810730096066
wt,2,395,3,0.4772950477389552,0.5227049522610447
wt,2,400,2,-0.6940936538958208,0.0836130271656319
wt,2,400,3,0.5328625605001508,0.4671374394998492
wt,2,405,2,-0.6845378346707668,0.08978126341453718
wt,2,405,3,0.6415359815824888,0.3584640184175112
wt,2,410,2,-0.7575040522640438,0.04856598494725214
wt,2,410,3,0.704890093559814,0.295109906440186
wt,2,415,2,-0.8449576443632091,0.016692462424087683
wt,2,415,3,0.7744493450403495,0.2255506549596504
wt,2,420,2,-0.7981036978459466,0.0314491996534929
wt,2,420,3,0.7796487907720429,0.22035120922795706
wt,2,425,2,-0.7753026578099361,0.04055682044435489
wt,2,425,3,0.8360988504273453,0.16390114957265464
wt,2,430,2,-0.7974822469896214,0.031680437850635575
wt,2,430,3,0.7908828732913453,0.1111228331022723
wt,2,435,2,-0.7636739376338342,0.045699623751625666
wt,2,435,3,0.8001930785051475,0.10394056919976667
wt,2,440,2,-0.6849812716538446,0.08948988957498884
wt,2,440,3,0.8020845230416309,0.10249927764160167
wt,2,445,2,-0.6863912572498551,0.0885667366062511
wt,2,445,3,0.8245891841437184,0.08583175385140147
wt,2,450,2,-0.5915595920351625,0.1618005343159902
wt,2,450,3,0.6900688677200452,0.1292003852111253
wt,2,455,2,-0.567678224324035,0.1837375862757305
wt,2,455,3,0.7592801464846852,0.07994468973634847
wt,2,460,2,-0.5745535007451215,0.17728164828814313
wt,2,460,3,0.47913243374426223,0.27665540817886514
wt,2,465,2,-0.5330519061091649,0.2179468251264648
wt,2,465,3,0.4385152718890094,0.2771088675308344
wt,2,470,2,-0.5243735468836712,0.2269563190230977
wt,2,470,3,0.4618301571608093,0.24931798556908696
wt,2,475,2,-0.5021550661053046,0.25079882065023024
wt,2,475,3,0.4664099178556449,0.24403193163111764
wt,2,480,2,-0.48533849300918647,0.2695720838762824
wt,2,480,3,0.4107569900127417,0.2721156558444485
wt,2,485,2,-0.46688248298632806,0.29087836365797887
wt,2,485,3,0.4077648631164434,0.27597023966575196
wt,2,490,2,-0.44802145870649046,0.31339195783523405
wt,2,490,3,0.43865813733365333,0.23754887363096344
wt,2,495,2,-0.3849352989513652,0.3938328318868785
wt,2,495,3,0.4403709622092985,0.23550857388656096
wt,2,500,2,-0.36972637123907,0.4143387247949024
wt,2,500,3,0.4680564641796861,0.20385735740055466
wt,2,505,2,-0.3564025036422386,0.4326360486927561
wt,2,505,3,0.453721509675722,0.2199327083079429
wt,2,510,2,-0.3291675941193885,0.47096316431421154
wt,2,510,3,0.45522807650403574,0.21821154927726014
wt,2,515,2,-0.31525288662640333,0.49100353939996433
wt,2,515,3,0.475600519099256,0.195668667052674
wt,2,520,2,-0.2838936648305742,0.5372316863098381
wt,2,520,3,0.47170461848358136,0.19987406181644665
wt,2,525,2,-0.2741444819612298,0.551887608274238
wt,2,525,3,0.4688911511635848,0.20294212598829048
wt,2,530,2,-0.23489024277742424,0.6121468251258797
wt,2,530,3,0.18527349676061036,0.6083419887791687
wt,2,535,2,-0.1992079834568757,0.6684841453869733
wt,2,535,3,0.23786751409769188,0.5081198570011273
wt,2,540,2,-0.20470380858127127,0.6597191183125972
wt,2,540,3,0.2690487752133815,0.45224043489180565
wt,2,545,2,-0.2142798822057807,0.6445208078286253
wt,2,545,3,0.27839758013563015,0.43605110272396985
wt,2,550,2,-0.18156947877839055,0.6968138327082504
wt,2,550,3,0.30473142421169386,0.39192862820861285
wt,2,555,2,-0.15030934312728556,0.7476996882362461
wt,2,555,3,0.3119320026790128,0.38025625839539856
wt,2,560,2,-0.1138329282375698,0.8080008342868374
wt,2,560,3,0.3280294225381187,0.35479066856292035
wt,2,565,2,-0.14685127437750678,0.7533769564791071
wt,2,565,3,0.3269751675058337,0.35643153010245066
wt,2,570,2,-0.15326419962613821,0.7428557291382143
wt,2,570,3,0.3418146727588013,0.33368803820804693
