condition,weight,time,cor,pval
wt,1,935,0.3943718418972258,0.11724118863048423
wt,1,940,0.39445915438758133,0.11715277599091259
wt,1,945,0.39355395458647247,0.11807165915184718
wt,1,950,0.39693393082340106,0.1146662668162154
wt,1,955,0.40117511643535325,0.11049182287675606
wt,1,960,0.4026029016379421,0.10911100471531975
wt,1,965,0.4068772837962426,0.10505032221326467
wt,1,970,0.410501208734178,0.10169265387107372
wt,1,975,0.41211186673157324,0.10022516199041379
wt,1,980,0.41584159228326384,0.0968850886735673
wt,1,985,0.41835951167235214,0.09467576164426963
wt,1,990,0.42113777184588247,0.09228019500205063
wt,1,995,0.42488979429437457,0.08911457783459846
wt,1,1e3,0.4300986531348224,0.08485065553009317
wt,1,1005,0.4317267927654324,0.08354870726983693
wt,1,1010,0.4357855139214847,0.08036625769894414
wt,1,1015,0.4392694962488268,0.07770554588657136
wt,1,1020,0.4412925985059682,0.07619029424334321
wt,1,1025,0.44308060268249666,0.07486917971883474
wt,1,1030,0.44123378423109244,0.07623403781998035
wt,1,1035,0.44261638602724174,0.07521055719352963
wt,1,1040,0.44412815075501383,0.07410299301954208
wt,1,1045,0.44370580226851664,0.0744112095305588
wt,1,1050,0.44688235052098774,0.07211592248517917
wt,1,1055,0.44959814037023416,0.0701950794174445
wt,1,1060,0.45266163464165177,0.06807370157406104
wt,1,1065,0.453864462083227,0.06725381423873769
wt,1,1070,0.45495382371840126,0.06651756572009256
wt,1,1075,0.45757104375411817,0.06477300827366271
wt,1,1080,0.4610848498761941,0.06248423874068789
wt,1,1085,0.4632094593907052,0.06112970699079775
wt,1,1090,0.4677294358095614,0.05832057628942127
wt,1,1095,0.470577137365923,0.056600736514968046
wt,1,1100,0.4732524509092586,0.055019686909834054
wt,1,1105,0.47646280612485264,0.05316620092871035
wt,1,1110,0.4797129731538787,0.05133767823260992
wt,1,1115,0.48289445015459687,0.0495938211749611
wt,1,1120,0.4841597437093324,0.048912777608313196
wt,1,1125,0.48614898866370426,0.04785630059878199
wt,1,1130,0.48798187345422295,0.046898138992107465
wt,1,1135,0.4876480641845778,0.04707155692147158
wt,1,1140,0.49013869822941547,0.04578920983517885
wt,1,1145,0.48978657381576973,0.04596889073808143
wt,1,1150,0.49035425025339746,0.04567948014766743
wt,1,1155,0.4931093423050706,0.04429435574575153
wt,1,1160,0.4935503003289135,0.04407564142726478
wt,1,1165,0.4940537662646385,0.043826921574154395
wt,1,1170,0.49545437053894403,0.043140578116486784
wt,1,1175,0.49762841559024656,0.042091358430421395
wt,1,1180,0.4976011157505444,0.042104412720220516
wt,1,1185,0.4994781044680399,0.0412139844278095
wt,1,1190,0.5003660123840789,0.04079777404775935
wt,1,1195,0.5032303038463621,0.03947682280953495
wt,1,1200,0.5064521135779906,0.038030083350297825
wt,1,1205,0.5068434783530771,0.03785712882098317
wt,1,1210,0.5086355830670639,0.03707278338145219
wt,1,1215,0.5110024183985947,0.03605593837323976
wt,1,1220,0.5107058282790947,0.036182180875728144
wt,1,1225,0.5125595521453578,0.03539865274036184
wt,1,1230,0.5142616933645626,0.03469066261453422
wt,1,1235,0.5146325053977511,0.03453787222917946
wt,1,1240,0.5142490335847626,0.034695888083940925
wt,1,1245,0.5156116870908257,0.0341368789017941
wt,1,1250,0.5146388765806849,0.03453525153095969
wt,1,1255,0.5159355552916608,0.03400503521995725
wt,1,1260,0.5187255124225294,0.03288533177176939
wt,1,1265,0.519540074687171,0.03256380764231231
wt,1,1270,0.5192592521139896,0.03267438074665938
wt,1,1275,0.5169461493657436,0.03359613388591648
wt,1,1280,0.5173594967551409,0.03342997567117873
wt,1,1285,0.5188750350787305,0.03282613076971599
wt,1,1290,0.5213292438282098,0.031866043835014055
wt,1,1295,0.5230639619661569,0.031200518452710505
wt,1,1300,0.5233324986492024,0.031098455217599116
wt,1,1305,0.5236521263142438,0.03097730800928745
wt,1,1310,0.5242435995297949,0.03075408019401624
wt,1,1315,0.5255075379181954,0.030281199223867464
wt,1,1320,0.5266126936134383,0.029872320629507433
wt,1,1325,0.5276548934470212,0.029490635883306866
wt,1,1330,0.5288710183573139,0.02905001002590598
wt,1,1335,0.5306150424649614,0.028426981765057136
wt,1,1340,0.5313068409119112,0.028182718494558837
wt,1,1345,0.5324204554913927,0.027792920008805507
wt,1,1350,0.5343755127629185,0.027118661789445053
wt,1,1355,0.5348515532329841,0.026956413568588137
wt,1,1360,0.5360964692191702,0.026535652316461034
wt,1,1365,0.5380368416666186,0.025889976144455772
wt,1,1370,0.5403542602892287,0.025134829086872326
wt,1,1375,0.5418159699900906,0.024667364794320842
wt,1,1380,0.544092401813462,0.023952791739845034
wt,1,1385,0.5450288530129616,0.023663544008531365
wt,1,1390,0.5463598632115789,0.02325709812551965
wt,1,1395,0.5463710709059494,0.023253698839638796
wt,1,1400,0.5472663859743254,0.02298339413154695
wt,1,1405,0.5487660125154046,0.022536115525371773
wt,1,1410,0.5478861437413606,0.022797716918809444
wt,1,1415,0.5478945383830834,0.02279520993926332
wt,1,1420,0.5478813111168167,0.02279916023310535
wt,1,1425,0.5487383299731329,0.02254431034885824
wt,1,1430,0.5493528733416515,0.022362932105372067
wt,1,1435,0.5501432944111194,0.022131315074655898
wt,1,1440,0.5516374655853822,0.0216985786165174
wt,2,310,0.9520916376306876,0.047908362369312375
wt,2,315,0.8583145348299241,0.1416854651700758
wt,2,320,0.8914570210092849,0.10854297899071505
wt,2,325,0.7877349845222005,0.2122650154777994
wt,2,330,0.7327092420649451,0.2672907579350548
wt,2,335,0.07029356780074557,0.9297064321992544
wt,2,340,0.2285241082351167,0.7714758917648833
wt,2,345,0.2540405811784292,0.7459594188215708
wt,2,350,-0.4234311188982797,0.5765688811017202
wt,2,355,0.047092805966385966,0.9294130106706031
wt,2,360,-0.41947288739954697,0.40769536987741806
wt,2,365,-0.7025517404099312,0.11955476384215288
wt,2,370,-0.8369927606717863,0.03769137808472743
wt,2,375,-0.8838216050318156,0.008292543824353162
wt,2,380,0.220295383485095,0.6001152779811041
wt,2,385,-0.08081886855938379,0.8362506842336438
wt,2,390,-0.07337661523847724,0.8511874530405128
wt,2,395,-0.0336074913924805,0.9218577379190631
wt,2,400,-0.0029699498878776103,0.9930854057517193
wt,2,405,0.024036037113810683,0.9440767735958336
wt,2,410,-0.006787027850480435,0.984199226765432
wt,2,415,-0.01585245308089449,0.9631029876134349
wt,2,420,0.015736901333126295,0.9633717814543626
wt,2,425,-0.034877269504991606,0.9189135444953526
wt,2,430,0.33998897274838363,0.27956846103175387
wt,2,435,0.20413624557032353,0.5245197791993313
wt,2,440,0.14631875306545683,0.6500013773151874
wt,2,445,0.08120129848018282,0.8019151106665251
wt,2,450,0.17719740469939715,0.5624990553021896
wt,2,455,0.17858740701153708,0.559387703793214
wt,2,460,-0.0294748184090052,0.9203261552867534
wt,2,465,-0.08750156547689675,0.7564949032476798
wt,2,470,-0.12651503804742004,0.6532190301814202
wt,2,475,-0.1384813593808231,0.6225854403484878
wt,2,480,-0.14448238248514075,0.5934355266092117
wt,2,485,-0.17921651308803696,0.506610179899572
wt,2,490,-0.21455734260523604,0.4248874846007057
wt,2,495,-0.21772098844085724,0.41792481935422954
wt,2,500,-0.21430272206569034,0.4254504646772135
wt,2,505,-0.21982316278660002,0.4133315160088712
wt,2,510,-0.22177030714386137,0.409100761357836
wt,2,515,-0.2078974282576587,0.4397394414463044
wt,2,520,-0.20457308724689088,0.4472505231702464
wt,2,525,-0.2027151974500909,0.45147630036259123
wt,2,530,-0.23777157104602514,0.35811628215258096
wt,2,535,-0.23450905043454076,0.3649449181636717
wt,2,540,-0.23489733509158875,0.36412842214433394
wt,2,545,-0.23493774673958792,0.36404350220527937
wt,2,550,-0.22141661018878064,0.3930709716615024
wt,2,555,-0.21632525745685285,0.404317189283547
wt,2,560,-0.2067355480070144,0.42596044059992844
wt,2,565,-0.2087309378513599,0.42140787723905715
wt,2,570,-0.19941626458668868,0.44287767376742504
wt,2,575,-0.18195191647587355,0.4845940615938177
wt,2,580,-0.1703376016268588,0.5133515614929087
wt,2,585,-0.15155705370159875,0.561470063605682
wt,2,590,-0.14039586617280422,0.5909574591984372
wt,2,595,-0.12447291287246404,0.6340872723653297
wt,2,600,-0.11324459048927511,0.6651956588093797
wt,2,605,-0.09620269997356956,0.713399302838496
wt,2,610,-0.08071197870695161,0.7581291212842831
wt,2,615,-0.06879088320246517,0.7930607923553902
wt,2,620,-0.054735118853538316,0.8347259942666987
wt,2,625,-0.04052668765950859,0.8772702445967526
wt,2,630,-0.023325568658679473,0.9291934856511459
wt,2,635,0.0018290753587496477,0.9944411976295864
wt,2,640,0.021868154466131336,0.9336081072226343
wt,2,645,0.03380928893919811,0.8975023465659441
wt,2,650,0.05117831869198527,0.8453400561282081
wt,2,655,0.06968998314618353,0.7904123269434182
wt,2,660,0.08755568959293465,0.7382690340882789
wt,2,665,0.09893954256936595,0.7055830647655847
wt,2,670,0.10819636218454795,0.6793557643197514
wt,2,675,0.12536487428850926,0.6316398971184718
wt,2,680,0.1391454732139075,0.5943002192940663
wt,2,685,0.14575465390068781,0.5767201532022244
wt,2,690,0.15371494634796173,0.5558435934650137
wt,2,695,0.16502034534809987,0.5267770108086703
wt,2,700,0.17806039833082782,0.4941414840159134
wt,2,705,0.18564315752357946,0.4756215751064864
wt,2,710,0.19162417848051191,0.46125856428518963
wt,2,715,0.19516613859792462,0.4528564648156894
wt,2,720,0.20519017555747548,0.4295038515041574
wt,2,725,0.21330826186710788,0.41106181853057233
wt,2,730,0.21852428620652348,0.3994387977971382
wt,2,735,0.22707717609926234,0.38076939457129533
wt,2,740,0.22964795055518608,0.37525338244195683
wt,2,745,0.2351049535248989,0.3636922563188584
wt,2,750,0.2389545409032627,0.3556581780428606
wt,2,755,0.2462070685704378,0.3407976503287313
wt,2,760,0.25436302388758186,0.3245194246336619
wt,2,765,0.259323018596724,0.3148459387073938
wt,2,770,0.2659164949489203,0.30225286605706286
wt,2,775,0.2767266179939677,0.28226698270098327
wt,2,780,0.2777222453427855,0.280467660212001
wt,2,785,0.28216222470142205,0.2725287934841094
wt,2,790,0.29074789581074206,0.2575722791432634
wt,2,795,0.29958306113052136,0.24272491908058003
wt,2,800,0.3014671647755484,0.23963000704603665
wt,2,805,0.304975615398397,0.2339335729580243
wt,2,810,0.3117956670489497,0.22310825048736055
wt,2,815,0.3183403234248612,0.21302701286706488
wt,2,820,0.32436040936949373,0.20401811911334883
wt,2,825,0.32825797385838806,0.19831998790753483
wt,2,830,0.3318392119396927,0.19317709572003544
wt,2,835,0.33716805123716137,0.1856882698414891
wt,2,840,0.3435036212729455,0.1770379816662094
wt,2,845,0.35192689866558446,0.16595967224105562
wt,2,850,0.35305860913138887,0.16450770914782867
wt,2,855,0.35725359528345746,0.15920043434186554
wt,2,860,0.36374343097690426,0.1512204616867316
wt,2,865,0.3679010929665517,0.14625409348391144
wt,2,870,0.3717400041294892,0.14176875447794365
wt,2,875,0.3772872221534562,0.13545598969664546
wt,2,880,0.37928945392762053,0.13322597783382703
wt,2,885,0.38309302780417476,0.12906002023539206
wt,2,890,0.3855711001051477,0.1263951099946962
wt,2,895,0.38836385100809595,0.12343804639787599
wt,2,900,0.3912298477128585,0.12045405080785915
wt,2,905,0.3923512686450232,0.11930033837305372
wt,2,910,0.39527688805915395,0.11632701226889985
wt,2,915,0.39831841997684414,0.11329154705359662
wt,2,920,0.40103029896081716,0.11063256329971723
wt,2,925,0.40509562515017894,0.10672963650088868
wt,2,930,0.40620694790703243,0.10567993362887684
wt,2,935,0.4081174199572212,0.10389256124350946
wt,2,940,0.41178458060022355,0.10052212586277338
wt,2,945,0.4139154556665234,0.098599894627782
wt,2,950,0.4156979756994583,0.09701220625830277
wt,2,955,0.41540524764033404,0.09727167458344034
wt,2,960,0.4160896018278252,0.09666585182113165
wt,2,965,0.4159375999600667,0.09680017709643915
wt,2,970,0.41859013077268664,0.09447522946087865
wt,2,975,0.42103547057627727,0.0923676240404921
wt,2,980,0.42215780499938355,0.09141170229750892
wt,2,985,0.42461890529594803,0.08934046983822182
wt,2,990,0.42494901334803487,0.0890652504778875
wt,2,995,0.42571598160155727,0.08842817076033602
wt,2,1e3,0.4279371700775898,0.08660170185235506
wt,2,1005,0.42991573666631905,0.08499783762539363
wt,2,1010,0.4304866804317525,0.08453904378567637
wt,2,1015,0.431075038655111,0.0840681350238425
wt,2,1020,0.4340626708883079,0.0817061874017425
wt,2,1025,0.43565805988404577,0.0804648333408264
wt,2,1030,0.4386091325044717,0.07820486278996402
wt,2,1035,0.438954978093363,0.07794306997042225
wt,2,1040,0.43861633039898007,0.07819940772104642
wt,2,1045,0.4402730611931107,0.07695118104432826
wt,2,1050,0.4426724465757946,0.07516927090071193
wt,2,1055,0.44416018770974763,0.074079651631959
wt,2,1060,0.4460339168974176,0.07272382962265536
wt,2,1065,0.4472209814243615,0.07187433453111657
wt,2,1070,0.4489477530929117,0.07065162896582544
wt,2,1075,0.4502610257330805,0.06973198958661729
wt,2,1080,0.4516253180008663,0.06878596757003869
wt,2,1085,0.4530878383303088,0.06778235011227596
wt,2,1090,0.45469916446878017,0.06668914344577408
wt,2,1095,0.4571883404267652,0.06502597419880096
wt,2,1100,0.4610555489787359,0.06250307328154017
wt,2,1105,0.4633342988379721,0.061050799074285574
wt,2,1110,0.46520798317589696,0.059875539275462956
wt,2,1115,0.46868432895613055,0.05773960733520453
wt,2,1120,0.4698190910867551,0.05705481373949663
wt,2,1125,0.4703994489465832,0.05670693133222179
wt,2,1130,0.4723080238232909,0.05557401181606416
wt,2,1135,0.47550420980635627,0.05371468137996323
wt,2,1140,0.47647498518441256,0.0531592594709888
wt,2,1145,0.4771945946096095,0.05275031909849641
wt,2,1150,0.4789424294921113,0.05176685682795049
wt,2,1155,0.48024629725462137,0.051042190956816814
wt,2,1160,0.48189502857928784,0.050136769843874635
wt,2,1165,0.48319113750070275,0.04943349454351838
wt,2,1170,0.48457493424107956,0.0486908393855335
wt,2,1175,0.4866319699877013,0.04760240091092218
wt,2,1180,0.48668326973184484,0.04757549265738156
wt,2,1185,0.48790771280701384,0.04693662472210208
wt,2,1190,0.4884417010486962,0.0466600410743138
wt,2,1195,0.48858297465160233,0.046587072942654795
wt,2,1200,0.489858501293977,0.04593214471183165
wt,2,1205,0.49078693120368105,0.04545981641914173
wt,2,1210,0.4917427735853555,0.0449773776627731
wt,2,1215,0.49222614083659333,0.044734884984828624
wt,2,1220,0.49471587853183074,0.04350144379589834
wt,2,1225,0.49620315243281055,0.04277699959379199
wt,2,1230,0.49785691560160333,0.041982213961972534
wt,2,1235,0.49992780352377747,0.04100278602314941
wt,2,1240,0.5016044729276746,0.04022257252513385
wt,2,1245,0.5025788279131636,0.03977437570488939
wt,2,1250,0.5044661289184936,0.038917024273277666
wt,2,1255,0.5042697875153053,0.03900555665144776
wt,2,1260,0.5042409080278663,0.03901859161072488
wt,2,1265,0.5037274957126429,0.03925087672806125
wt,2,1270,0.5052244013503001,0.038576544249010386
wt,2,1275,0.5070317144442844,0.037774155737684424
wt,2,1280,0.5090785807042009,0.03688082003292486
wt,2,1285,0.5106419701459896,0.03620940589546234
wt,2,1290,0.5102612063386963,0.03637206356329799
wt,2,1295,0.511102040693057,0.03601360996061934
wt,2,1300,0.5125938861927336,0.03538426370407345
wt,2,1305,0.5122590811759221,0.03552476758612557
wt,2,1310,0.5128465561806754,0.03527850965285202
wt,2,1315,0.5113864312705324,0.03589298404214813
wt,2,1320,0.5113110779883668,0.03592491552064536
wt,2,1325,0.5117849608655417,0.03572446422868603
wt,2,1330,0.5132296161129122,0.03511864177476437
wt,2,1335,0.5142651792606017,0.03468922387650853
wt,2,1340,0.5148462127502033,0.0344500495572404
wt,2,1345,0.5160871083457907,0.033943473298784665
wt,2,1350,0.5158839944105702,0.034025999065418214
wt,2,1355,0.5151716732037459,0.03431663011079475
wt,2,1360,0.5148785062824406,0.03443679344156912
wt,2,1365,0.5150705296662592,0.034358050581962424
wt,2,1370,0.5157022880326237,0.03409995681206456
wt,2,1375,0.5148287475907235,0.034457220424628614
wt,3,310,0.9651753390116357,0.03482466098836432
wt,3,315,0.9411031826556554,0.058896817344344585
wt,3,320,0.9537896664911685,0.04621033350883152
wt,3,325,0.9864218183174639,0.013578181682536087
wt,3,330,0.9647573890262606,0.035242610973739354
wt,3,335,0.7364114726468385,0.2635885273531614
wt,3,340,0.6150533672358518,0.3849466327641482
wt,3,345,0.5677649736549121,0.4322350263450879
wt,3,350,0.4078795053519302,0.5921204946480698
wt,3,355,0.4444097794338024,0.5555902205661976
wt,3,360,0.9571599591223303,0.010575430450965158
wt,3,365,0.7228190524705392,0.1677036334907975
wt,3,370,0.2677290514548201,0.6080016774074326
wt,3,375,-0.10513830251038858,0.8428736489261
wt,3,380,-0.5033455470993422,0.2494933615280748
wt,3,385,0.2457007754424147,0.5575161070640315
wt,3,390,0.10789123749493287,0.7992683349225783
wt,3,395,0.0760745921784536,0.8579095214210124
wt,3,400,-0.018288859135238582,0.9600064995520976
wt,3,405,-0.07996604799081682,0.8152045922481354
wt,3,410,-0.022933288172439125,0.9466392505678842
wt,3,415,-0.10678342779351757,0.7546649964031452
wt,3,420,-0.08323589906344062,0.8077676673101657
wt,3,425,-0.08547473854382599,0.8026838555995627
wt,3,430,-0.11264096465837173,0.7415934885392224
wt,3,435,0.29611777334319916,0.3500236468396475
wt,3,440,0.24998291869731565,0.4332685051395535
wt,3,445,0.1702651403659691,0.5967676776197641
wt,3,450,0.052485806620385225,0.8713089577256642
wt,3,455,0.019595571336463002,0.9518012046797881
wt,3,460,-0.04204070780932314,0.8967838669312491
wt,3,465,0.029245038279358457,0.9244429982412821
wt,3,470,-0.07443147030502804,0.8003597880300215
wt,3,475,-0.2013088928628293,0.4718674318443812
wt,3,480,-0.21753733365664374,0.43608368784959606
wt,3,485,-0.20321364130472608,0.4675954174801291
wt,3,490,-0.1949477426914177,0.4862701214248982
wt,3,495,-0.19449155751819938,0.4704192882369851
wt,3,500,-0.20972522566748697,0.43563726334367225
wt,3,505,-0.2134900631727649,0.42724988263281527
wt,3,510,-0.23624385145316557,0.3783796103208702
wt,3,515,-0.22720000040182006,0.39742488874868154
wt,3,520,-0.21477594154403734,0.42440445881240274
wt,3,525,-0.2204210725223627,0.4120299374610942
wt,3,530,-0.22220129290930318,0.408167420282871
wt,3,535,-0.2228869195428314,0.40668495414219674
wt,3,540,-0.2149847908407099,0.42394324267260897
wt,3,545,-0.21052749169757543,0.4338429274168579
wt,3,550,-0.21951794220483783,0.39724489633984694
wt,3,555,-0.22058316271691836,0.39490023563549537
wt,3,560,-0.2324319981057782,0.36932996724740785
wt,3,565,-0.2303860083590496,0.3736779754647994
wt,3,570,-0.2241606686886236,0.38708087493971277
wt,3,575,-0.2138394599435659,0.4098699832343824
wt,3,580,-0.2089385250433978,0.4209357323821392
wt,3,585,-0.1943857739538578,0.45470093287533764
wt,3,590,-0.1782950129037243,0.49356334213266684
wt,3,595,-0.16522667011091383,0.5262530890754519
wt,3,600,-0.14520271957894879,0.5781798227840247
wt,3,605,-0.12468261195710885,0.6335115736805534
wt,3,610,-0.10910624813122688,0.6767959026051773
wt,3,615,-0.0965654527364943,0.7123617353608951
wt,3,620,-0.07580169661846178,0.7724679227337257
wt,3,625,-0.05922584265465341,0.821363600662028
wt,3,630,-0.04576670186012888,0.8615369828229102
wt,3,635,-0.03221760126094629,0.9023055580739199
wt,3,640,-0.020802019419509633,0.9368386797352275
wt,3,645,0.0030137241961458506,0.9908410066930808
wt,3,650,0.018820779304467974,0.9428446169612522
wt,3,655,0.03334026404352175,0.898917373343767
wt,3,660,0.041853229937474874,0.8732829344989227
wt,3,665,0.05240713923820121,0.8416701217627319
wt,3,670,0.06323245686993487,0.8094806673650788
wt,3,675,0.08187666046329209,0.7547387921746119
wt,3,680,0.09821992510416443,0.7076355839476827
wt,3,685,0.11199636211928758,0.6686871700754281
wt,3,690,0.1204936910860478,0.6450489516335965
wt,3,695,0.12957917184436668,0.6201258531467732
wt,3,700,0.1431788916544097,0.5835453910312973
wt,3,705,0.1550112710217358,0.5524754730118603
wt,3,710,0.16538117750951847,0.5258609037545134
wt,3,715,0.1753859293928259,0.5007548188687678
wt,3,720,0.18451843540776813,0.47834681139314683
wt,3,725,0.18765793622011528,0.4707588503912229
wt,3,730,0.19619422517711366,0.4504322727143839
wt,3,735,0.21278030134897824,0.412248213712218
wt,3,740,0.22558190783050344,0.38399813033272456
wt,3,745,0.2320136176251716,0.3702167823996605
wt,3,750,0.23872724391395264,0.3561297389953012
wt,3,755,0.24450352424964047,0.34425575956999666
wt,3,760,0.2561956193281224,0.32092533580045857
wt,3,765,0.26531828447961747,0.3033828391292029
wt,3,770,0.2768888233973504,0.28197336419304647
wt,3,775,0.28752904867152357,0.2631185735029787
wt,3,780,0.2950946271311886,0.2501987602170811
wt,3,785,0.3051048938487699,0.2337253291754487
wt,3,790,0.31577513362001824,0.21694262730158437
wt,3,795,0.32414917304281976,0.2043299548077204
wt,3,800,0.32834872221059413,0.19818857153885824
wt,3,805,0.33218532871499945,0.19268474558486826
wt,3,810,0.3375539831956556,0.18515348361646214
wt,3,815,0.3445059228157657,0.17569456416993515
wt,3,820,0.3530397760063825,0.1645318013594418
wt,3,825,0.35738238581959036,0.1590393541636495
wt,3,830,0.36103533589937986,0.15451646124595017
wt,3,835,0.36970291006597666,0.1441369283945956
wt,3,840,0.37817566303656325,0.1344633142633321
wt,3,845,0.38481552513224987,0.12720355185026794
wt,3,850,0.39014828063973916,0.12157414653282426
wt,3,855,0.39267414802316347,0.11896960388120022
wt,3,860,0.3999481175910797,0.11168829172357596
wt,3,865,0.4039731221195541,0.1077973867014207
wt,3,870,0.4081243306807439,0.10388613509822109
wt,3,875,0.4117125196132344,0.10058759480277385
wt,3,880,0.4168501775055944,0.09599572894046587
wt,3,885,0.41893151531305844,0.09417894210970987
wt,3,890,0.4198902074778595,0.09335046022426971
