target_id	length	eff_length	est_counts	tpm
NC_001604.1|T7p49|NP_042002.1|CDS|internal	591	412	29	3.11403
NC_001604.1|T7p50|NP_042003.1|CDS|internal	2244	2065	145	3.10649
NC_001604.1|T7p51|NP_042004.1|CDS|internal	3957	3778	212	2.48254
NC_001604.1|T7p52|NP_042005.1|CDS|tail	1662	1483	111	3.31134
NC_001604.1|T7p53|NP_042006.1|CDS|type	204	29.2345	6	9.07984
NC_001604.1|T7p54|NP_042007.1|CDS|DNA	270	91.0003	6	2.91696
NC_001604.1|T7p55|NP_042008.1|CDS|phage	432	253	12	2.09837
NC_001604.1|T7p56|NP_042009.1|CDS|phage	252	73.0112	0	0
NC_001604.1|T7p57|NP_042010.1|CDS|DNA	1761	1582	65.259	1.82497
NC_001604.1|T7p58|NP_042011.1|CDS|hypothetical	258	79.0036	2.74103	1.53493
NC_001604.1|T7p59|NP_042012.1|CDS|hypothetical	174	14.6185	0	0
NC_001604.1|T7p60|NP_042013.1|CDS|hypothetical	150	9.35544	0	0
U00096.3|b0001|AAC73112.1|CDS|thrL	66	3.85692	0	0
U00096.3|b0002|AAC73113.1|CDS|thrA	2463	2284	161	3.11854
U00096.3|b0003|AAC73114.1|CDS|thrB	933	754	57	3.34446
U00096.3|b0004|AAC73115.1|CDS|thrC	1287	1108	75	2.99463
U00096.3|b0005|AAC73116.1|CDS|yaaX	297	118	3	1.12476
U00096.3|b0006|AAC73117.1|CDS|yaaA	777	598	75	5.54858
U00096.3|b0007|AAC73118.1|CDS|yaaJ	1431	1252	23	0.812729
U00096.3|b0008|AAC73119.1|CDS|talB	954	775	1977	112.857
U00096.3|b0009|AAC73120.1|CDS|mog	588	409	101	10.925
U00096.3|b0010|AAC73121.1|CDS|satP	567	388	80	9.1218
U00096.3|b0011|AAC73122.1|CDS|yaaW	714	535	5	0.413465
U00096.3|b0013|AAC73124.1|CDS|yaaI	405	226	6	1.17453
U00096.3|b0014|AAC73125.1|CDS|dnaK	1917	1738	6726	171.21
U00096.3|b0015|AAC73126.1|CDS|dnaJ	1131	952	1205	55.998
U00096.3|b0016|AAC73127.1|CDS|insL1	1113	934	206.333	9.77338
U00096.3|b0018|AAC73129.1|CDS|mokC	210	33.6633	6	7.88527
U00096.3|b4412|AAT48122.1|CDS|hokC	153	9.8295	0	0
U00096.3|b0019|AAC73130.1|CDS|nhaA	1167	988	242	10.8363
U00096.3|b0020|AAC73131.1|CDS|nhaR	906	727	69	4.19891
U00096.3|b0021|AAC73132.1|CDS|insB1	504	325	0	0
U00096.3|b0022|AAC73133.1|CDS|insA	276	97.0001	0	0
U00096.3|b0023|AAC73134.1|CDS|rpsT	264	85.0011	1350	702.638
U00096.3|b0024|AAC73135.1|CDS|yaaY	219	41.1625	0	0
U00096.3|b0025|AAC73136.1|CDS|ribF	942	763	416	24.1208
U00096.3|b0026|AAC73137.1|CDS|ileS	2817	2638	2118	35.52
U00096.3|b0027|AAC73138.1|CDS|lspA	495	316	150	21.0003
U00096.3|b0028|AAC73139.1|CDS|fkpB	450	271	106	17.3045
U00096.3|b0029|AAC73140.1|CDS|ispH	951	772	343	19.6562
U00096.3|b0030|AAC73141.1|CDS|rihC	915	736	56	3.36614
U00096.3|b0031|AAC73142.1|CDS|dapB	822	643	111	7.6372
U00096.3|b0032|AAC73143.1|CDS|carA	1149	970	63	2.87337
U00096.3|b0033|AAC73144.1|CDS|carB	3222	3043	125	1.81731
U00096.3|b0034|AAC73145.2|CDS|caiF	396	217	1	0.203874
U00096.3|b0035|AAC73146.2|CDS|caiE	591	412	5	0.536902
U00096.3|b0036|AAC73147.2|CDS|caiD	786	607	1	0.0728842
U00096.3|b0037|AAC73148.2|CDS|caiC	1554	1375	18	0.579151
U00096.3|b0038|AAC73149.1|CDS|caiB	1218	1039	27	1.14966
U00096.3|b0039|AAC73150.1|CDS|caiA	1143	964	25	1.14732
U00096.3|b0040|AAC73151.1|CDS|caiT	1515	1336	4	0.132457
U00096.3|b0041|AAC73152.2|CDS|fixA	771	592	1	0.0747309
U00096.3|b0042|AAC73153.1|CDS|fixB	942	763	1	0.0579826
U00096.3|b0043|AAC73154.1|CDS|fixC	1287	1108	3	0.119785
U00096.3|b0044|AAC73155.1|CDS|fixX	288	109	1	0.405878
U00096.3|b0045|AAC73156.1|CDS|yaaU	1332	1153	7	0.268591
U00096.3|b0046|AAC73157.1|CDS|kefF	531	352	10	1.25684
U00096.3|b0047|AAC73158.1|CDS|kefC	1863	1684	42	1.10339
U00096.3|b0048|AAC73159.1|CDS|folA	480	301	120	17.6375
U00096.3|b0049|AAC73160.1|CDS|apaH	843	664	103	6.86264
U00096.3|b0050|AAC73161.1|CDS|apaG	378	199	61	13.5612
U00096.3|b0051|AAC73162.1|CDS|rsmA	822	643	371	25.5261
U00096.3|b0052|AAC73163.1|CDS|pdxA	990	811	260	14.1832
U00096.3|b0053|AAC73164.1|CDS|surA	1287	1108	936	37.373
U00096.3|b0054|AAC73165.1|CDS|lptD	2355	2176	1254	25.4953
U00096.3|b0055|AAC73166.1|CDS|djlA	816	637	95	6.59791
U00096.3|b4659|NA|CDS|yabP	806	627	47	3.31629
U00096.3|b0058|AAC73169.1|CDS|rluA	660	481	203	18.6712
U00096.3|b0059|AAC73170.1|CDS|rapA	2907	2728	1540	24.9746
U00096.3|b0060|AAC73171.1|CDS|polB	2352	2173	89	1.81198
U00096.3|b0061|AAC73172.1|CDS|araD	696	517	4	0.342288
U00096.3|b0062|AAC73173.1|CDS|araA	1503	1324	8	0.267315
U00096.3|b0063|AAC73174.1|CDS|araB	1701	1522	5	0.145337
U00096.3|b0064|AAC73175.1|CDS|araC	879	700	22	1.39042
U00096.3|b0065|AAC73176.1|CDS|yabI	765	586	42	3.17084
U00096.3|b0066|AAC73177.1|CDS|thiQ	699	520	22	1.87172
U00096.3|b0067|AAC73178.1|CDS|thiP	1611	1432	70	2.1626
U00096.3|b0068|AAC73179.1|CDS|thiB	984	805	71	3.90198
U00096.3|b0069|AAC73180.1|CDS|sgrR	1656	1477	65	1.94695
U00096.3|b4662|ACO59989.1|CDS|sgrT	132	7.19434	0	0
U00096.3|b0070|AAT48123.1|CDS|setA	1179	1000	38	1.68115
U00096.3|b0071|AAC73182.1|CDS|leuD	606	427	15	1.55412
U00096.3|b0072|AAC73183.1|CDS|leuC	1401	1222	14	0.506849
U00096.3|b0073|AAC73184.2|CDS|leuB	1092	913	11	0.533021
U00096.3|b0074|AAC73185.1|CDS|leuA	1572	1393	20	0.635186
U00096.3|b0075|AAC73186.1|CDS|leuL	87	4.51079	0	0
U00096.3|b0076|AAC73187.2|CDS|leuO	945	766	2	0.115511
U00096.3|b0077|AAC73188.2|CDS|ilvI	1725	1546	27	0.772639
U00096.3|b0078|AAC73189.1|CDS|ilvH	492	313	5	0.706721
U00096.3|b0080|AAC73191.1|CDS|cra	1005	826	124	6.64146
U00096.3|b0081|AAC73192.1|CDS|mraZ	459	280	202	31.9165
U00096.3|b0082|AAC73193.1|CDS|rsmH	942	763	379	21.9754
U00096.3|b0083|AAC73194.1|CDS|ftsL	366	187	68	16.0875
U00096.3|b0084|AAC73195.1|CDS|ftsI	1767	1588	296	8.24638
U00096.3|b0085|AAC73196.1|CDS|murE	1488	1309	450	15.2088
U00096.3|b0086|AAC73197.1|CDS|murF	1359	1180	377	14.1345
U00096.3|b0087|AAC73198.1|CDS|mraY	1083	904	245	11.99
U00096.3|b0088|AAC73199.1|CDS|murD	1317	1138	353	13.7232
U00096.3|b0089|AAC73200.1|CDS|ftsW	1245	1066	270	11.2054
U00096.3|b0090|AAC73201.1|CDS|murG	1068	889	275	13.6853
U00096.3|b0091|AAC73202.1|CDS|murC	1476	1297	377	12.8595
U00096.3|b0092|AAC73203.1|CDS|ddlB	921	742	309	18.4237
U00096.3|b0093|AAC73204.1|CDS|ftsQ	831	652	276	18.7277
U00096.3|b0094|AAC73205.1|CDS|ftsA	1263	1084	440	17.9575
U00096.3|b0095|AAC73206.1|CDS|ftsZ	1152	973	1024	46.5596
U00096.3|b0096|AAC73207.1|CDS|lpxC	918	739	1577	94.4081
U00096.3|b0097|AAC73208.2|CDS|secM	513	334	150	19.8686
U00096.3|b0098|AAC73209.1|CDS|secA	2706	2527	1520	26.611
U00096.3|b0099|AAC73210.1|CDS|mutT	390	211	10	2.09672
U00096.3|b0101|AAC73212.1|CDS|yacG	198	25.324	26	45.4217
U00096.3|b0102|AAC73213.1|CDS|zapD	744	565	166	12.9982
U00096.3|b0103|AAC73214.1|CDS|coaE	621	442	79	7.90728
U00096.3|b0104|AAC73215.1|CDS|guaC	1044	865	295	15.0879
U00096.3|b0106|AAC73217.1|CDS|hofC	1203	1024	24	1.03689
U00096.3|b0107|AAC73218.1|CDS|hofB	1386	1207	12	0.439841
U00096.3|b0108|AAC73219.1|CDS|ppdD	441	262	2	0.337715
U00096.3|b0109|AAC73220.1|CDS|nadC	894	715	66	4.08376
U00096.3|b0110|AAC73221.1|CDS|ampD	552	373	19	2.25355
U00096.3|b0111|AAC73222.1|CDS|ampE	855	676	29	1.8979
U00096.3|b0112|AAC73223.1|CDS|aroP	1374	1195	536	19.8435
U00096.3|b0113|AAC73224.1|CDS|pdhR	765	586	996	75.1941
U00096.3|b0114|AAC73225.1|CDS|aceE	2664	2485	22276	396.582
U00096.3|b0115|AAC73226.1|CDS|aceF	1893	1714	12427	320.758
U00096.3|b0116|AAC73227.1|CDS|lpd	1425	1246	8999	319.52
U00096.3|b0117|AAC73228.1|CDS|yacH	1854	1675	11	0.290536
U00096.3|b0118|AAC73229.1|CDS|acnB	2598	2419	2336	42.7227
U00096.3|b0119|AAC73230.2|CDS|yacL	363	184	60	14.4263
U00096.3|b0120|AAC73231.1|CDS|speD	795	616	648	46.5389
U00096.3|b0121|AAC73232.1|CDS|speE	867	688	806	51.8285
U00096.3|b0122|AAC73233.2|CDS|yacC	348	169	34	8.9005
U00096.3|b0123|AAC73234.1|CDS|cueO	1551	1372	58	1.87023
U00096.3|b0124|AAC73235.1|CDS|gcd	2391	2212	454	9.08015
U00096.3|b0125|AAC73236.2|CDS|hpt	537	358	405	50.0489
U00096.3|b0126|AAC73237.1|CDS|can	663	484	486	44.4235
U00096.3|b0127|AAC73238.1|CDS|yadG	927	748	168	9.93642
U00096.3|b0128|AAC73239.1|CDS|yadH	771	592	74	5.53009
U00096.3|b0129|AAC73240.1|CDS|yadI	441	262	11	1.85743
U00096.3|b0130|AAC73241.1|CDS|yadE	1230	1051	57	2.39935
U00096.3|b0131|AAC73242.1|CDS|panD	381	202	157	34.3851
U00096.3|b0132|AAC73243.1|CDS|yadD	903	724	8	0.488848
U00096.3|b0133|AAC73244.1|CDS|panC	852	673	205	13.476
U00096.3|b0134|AAC73245.1|CDS|panB	795	616	187	13.4302
U00096.3|b0135|AAC73246.1|CDS|yadC	1239	1060	17	0.709521
U00096.3|b0136|AAC73247.1|CDS|yadK	597	418	1	0.105839
U00096.3|b0137|AAC73248.1|CDS|yadL	606	427	7	0.725258
